recipient_name,cleaned_names
PMI 1741 L ST. 80000,PMI 1741 L ST. 80000
ENTERPRISE RENTACAR,ENTERPRISE RENTACAR
0198 SHEETZ 0198,0198 SHEETZ 0198
IAD DULLES ECONOMY 8,IAD DULLES ECONOMY 8
DAILY GRILL,DAILY GRILL
DIRTY MARTINI,DIRTY MARTINI
RIS 0055,RIS 0055
THE HAY-ADAMS HOTEL,THE HAY-ADAMS HOTEL
RENAISSANCE HTLS & RESRTS,RENAISSANCE HTLS & RESRTS
DEMOCRATIC GAIN,DEMOCRATIC GAIN
GEORGETOWN CUPCAKE 3,GEORGETOWN CUPCAKE 3
RED TOP CAB OF ARLIN,RED TOP CAB OF ARLIN
CHOPT,CHOPT
MANHATTAN MARKET 020,MANHATTAN MARKET 020
HARRIS TEETER #0083,HARRIS TEETER #0083
TRADER JOE'S #653  Q,TRADER JOE'S #653  Q
CORNERBAKERY0179,CORNERBAKERY0179
FOUNDING FARMERS DIN,FOUNDING FARMERS DIN
STARBUCKS USA 072819,STARBUCKS USA 072819
SAFEWAY  STORE  0923,SAFEWAY  STORE  0923
THE DUPONT HOTEL,THE DUPONT HOTEL
ALEXANDRIA YELLOW CA,ALEXANDRIA YELLOW CA
COLONIAL PARKING #66,COLONIAL PARKING #66
DOMASO RESTAURANT 00,DOMASO RESTAURANT 00
DAILY GRILL WASHINGT,DAILY GRILL WASHINGT
UNION STATION PARKIN,UNION STATION PARKIN
CENTER CAFE,CENTER CAFE
WILLARD PARKING #626,WILLARD PARKING #626
CROWNE PLAZA HAMILTO,CROWNE PLAZA HAMILTO
CARIBOU COFFEE CO #,CARIBOU COFFEE CO #
AMTRAK,AMTRAK
AMTRAK ACELA CAFE  Q,AMTRAK ACELA CAFE  Q
AKIN GUMP STRAUSS HAUER & FELD LLP,AKIN GUMP STRAUSS HAUER & FELD LLP
MOURAYO,MOURAYO
OLD EBBITT GRILL,OLD EBBITT GRILL
RISTORANTE TOSCA,RISTORANTE TOSCA
ACQUA AL 2,ACQUA AL 2
TALAY THAI,TALAY THAI
WE THE PIZZA,WE THE PIZZA
SUSAN GAGE CATERERS,SUSAN GAGE CATERERS
CATERING BY AVALON,CATERING BY AVALON
BISTRO BIS,BISTRO BIS
RUTH'S CHRIS STEAKHOUSE-ARLINGTON,RUTH'S CHRIS STEAKHOUSE-ARLINGTON
WINFREY & COMPANY,WINFREY & COMPANY
THE CAUCUS ROOM,THE CAUCUS ROOM
CHARLIE PALMER'S,CHARLIE PALMER'S
HOTEL GEORGE,HOTEL GEORGE
HILTON HOTELS - CORPORATE,HILTON HOTELS - CORPORATE
SOURCE,SOURCE
CENTERPLATE/NBSE,CENTERPLATE/NBSE
JEFFERSON HOTEL,JEFFERSON HOTEL
HILTON MCLEAN TYSONS CORNER,HILTON MCLEAN TYSONS CORNER
DEMOCRATIC PROPERTIES CORPORATION,DEMOCRATIC PROPERTIES CORPORATION
CHICK-FIL-A,CHICK-FIL-A
EXECUTIVE PRESS,EXECUTIVE PRESS
GIANT FOOD,GIANT FOOD
PARTY CITY,PARTY CITY
PJ SKIDOOS RESTAURANT,PJ SKIDOOS RESTAURANT
"LIAISON CAPITOL HILL,  AN AFFINIA HOTEL","LIAISON CAPITOL HILL,  AN AFFINIA HOTEL"
REFLECTIONS PHOTOGRAPHY,REFLECTIONS PHOTOGRAPHY
AVALON CATERERS,AVALON CATERERS
"A THYME & PLACE, INC.","A THYME & PLACE, INC."
BLT STEAK DC,BLT STEAK DC
GULA GRAHAM GROUP,GULA GRAHAM GROUP
MARRIOTT,MARRIOTT
BULLFEATHERS,BULLFEATHERS
MEDATERRA,MEDATERRA
CAFE 8,CAFE 8
MONTE MARTRE,MONTE MARTRE
COSI DOWNTOWN,COSI DOWNTOWN
ACQUA,ACQUA
W. MILLAR & COMPANY,W. MILLAR & COMPANY
BAR DUPONT,BAR DUPONT
TRADER JOE'S,TRADER JOE'S
FOUNDING FARMERS,FOUNDING FARMERS
SOFITEL HOTEL - DC,SOFITEL HOTEL - DC
CHICKEN OUT CATERING,CHICKEN OUT CATERING
HAY ADAMS,HAY ADAMS
EQUINOX,EQUINOX
HILL COUNTRY BBQ,HILL COUNTRY BBQ
CARMINE'S,CARMINE'S
SILVER SPOON,SILVER SPOON
THE ASHMEAD GROUP,THE ASHMEAD GROUP
HOLIDAY INN CAPITOL,HOLIDAY INN CAPITOL
MATCHBOX DC,MATCHBOX DC
TORTILLA COAST DC,TORTILLA COAST DC
MEMBERS DINING ROOM,MEMBERS DINING ROOM
FOGO DE CHAO DC,FOGO DE CHAO DC
CARDINAL EVENTS,CARDINAL EVENTS
BLUECROSS BLUESHIELD ASSOCIATION,BLUECROSS BLUESHIELD ASSOCIATION
LANDINI BROTHERS RESTAURANT,LANDINI BROTHERS RESTAURANT
"THE RITZ-CARLTON HOTEL COMPANY, LLC","THE RITZ-CARLTON HOTEL COMPANY, LLC"
RITZ-CARLTON HOTEL CO,RITZ-CARLTON HOTEL CO
THE LIAISON CAPITAL HILL,THE LIAISON CAPITAL HILL
"HIGHWOOD CAPITAL, LLC","HIGHWOOD CAPITAL, LLC"
OCCASIONS CATERERS,OCCASIONS CATERERS
CARMINE'S RESTAURANT,CARMINE'S RESTAURANT
MARRIOTT BALTIMORE,MARRIOTT BALTIMORE
ROTI MEDITERRANEAN GRILL,ROTI MEDITERRANEAN GRILL
DONOVAN HOUSE RESTAURANT,DONOVAN HOUSE RESTAURANT
LEVY FOOD SERVICES,LEVY FOOD SERVICES
ASHMEAD GROUP,ASHMEAD GROUP
ENERGY ACTION COALITION,ENERGY ACTION COALITION
THE MANAGEMENT CENTER,THE MANAGEMENT CENTER
WASHINGTON PRINTING & PROMOTIONS INC.,WASHINGTON PRINTING & PROMOTIONS INC.
CAFE DUPONT,CAFE DUPONT
DEPARTMENT OF TREASURY,DEPARTMENT OF TREASURY
PARIS CATERERS,PARIS CATERERS
W HOTEL WASHINGTON DC,W HOTEL WASHINGTON DC
SPECIAL EVENTS AT UNION STATION,SPECIAL EVENTS AT UNION STATION
"DC I & G CAPITAL LESSEE LLC THE LIAISON CAPITOL HILL, AN AFFINIA HOTEL","DC I & G CAPITAL LESSEE LLC THE LIAISON CAPITOL HILL, AN AFFINIA HOTEL"
THE PODESTA GROUP C/O CAITLIN OFFINGER,THE PODESTA GROUP C/O CAITLIN OFFINGER
BROOKLYN'S DELI & GRILL,BROOKLYN'S DELI & GRILL
MAJESTIC CAFE,MAJESTIC CAFE
THE SOURCE,THE SOURCE
TOULIES EN FLEUR,TOULIES EN FLEUR
FOUR SEASONS HOTELS,FOUR SEASONS HOTELS
ROSA MEXICANO DC,ROSA MEXICANO DC
ACADIANA,ACADIANA
ZOLA WINE AND KITCHEN,ZOLA WINE AND KITCHEN
ALLIANCE FOR RETIRED AMERICANS,ALLIANCE FOR RETIRED AMERICANS
CARPOOL,CARPOOL
ELEPHANT & CASTLE,ELEPHANT & CASTLE
WASHINGTON NATIONALS,WASHINGTON NATIONALS
RESTAURANT ASSOCIATES,RESTAURANT ASSOCIATES
"MINDY'S CATERING, INC.","MINDY'S CATERING, INC."
LIAISON CAPITOL HILL,LIAISON CAPITOL HILL
EPIPHANY PRODUCTIONS,EPIPHANY PRODUCTIONS
TASTE CATERING,TASTE CATERING
CATALYST GROUP RW LLC,CATALYST GROUP RW LLC
MENUS CATERING,MENUS CATERING
SONOMA RESTAURANT,SONOMA RESTAURANT
DCA REAGAN DCA REAGA,DCA REAGAN DCA REAGA
CUBA LIBRE RESTAURAN,CUBA LIBRE RESTAURAN
MCDONALD'S F31398 00,MCDONALD'S F31398 00
ROSA MEXICANO ROSA M,ROSA MEXICANO ROSA M
RED TOP CAB,RED TOP CAB
DC NATIONAL CAB COMP,DC NATIONAL CAB COMP
HUDSON AMS UNION STA,HUDSON AMS UNION STA
PRIMO CAPPUCCINO 650,PRIMO CAPPUCCINO 650
DUNKIN' DONUTS BWI B,DUNKIN' DONUTS BWI B
LEXINGTON AMOCO 8168,LEXINGTON AMOCO 8168
VERONA CITGO 0001295,VERONA CITGO 0001295
BIRCH  BARLEY-CHURCH,BIRCH  BARLEY-CHURCH
CVS 1351 01351,CVS 1351 01351
MAI THAI 65000000410,MAI THAI 65000000410
HARRY'S TAP RM568475,HARRY'S TAP RM568475
PJ CLARKES WASHING 5,PJ CLARKES WASHING 5
SETTE OSTERIA,SETTE OSTERIA
CORNER BAKERY,CORNER BAKERY
LEVANTE RESTAURANT,LEVANTE RESTAURANT
SIZZLING EXPRESS - C,SIZZLING EXPRESS - C
GOODWILL FIRST INC 0,GOODWILL FIRST INC 0
LUCKY BAR LUCKY BAR,LUCKY BAR LUCKY BAR
WASHINGTON PLAZA HOT,WASHINGTON PLAZA HOT
RAKU,RAKU
SABORESRESTAURANT,SABORESRESTAURANT
STARBUCKS CORP072819,STARBUCKS CORP072819
ZAYTINYA,ZAYTINYA
LUPE,LUPE
AMTRAK EAST CAFE,AMTRAK EAST CAFE
CHEF GEOFFS INC 6500,CHEF GEOFFS INC 6500
CITY PLACE CAFE 6500,CITY PLACE CAFE 6500
QUIZNOS PENNSYLVANIA,QUIZNOS PENNSYLVANIA
RUMORS,RUMORS
THE QUEEN VIC,THE QUEEN VIC
CIRCA AT DUPONT 0079,CIRCA AT DUPONT 0079
MIXT GREENS DC206 54,MIXT GREENS DC206 54
AGORA RESTAURANT 274,AGORA RESTAURANT 274
CELEBRATE FAIRFAX INC,CELEBRATE FAIRFAX INC
SUBWAY REST.,SUBWAY REST.
LA CHAUMIERE,LA CHAUMIERE
JOHNNY'S HALF SHELL,JOHNNY'S HALF SHELL
THE MONOCLE,THE MONOCLE
CAPITAL GRILLE,CAPITAL GRILLE
FOGO DE CHAO BRAZILIAN STEAKHOUSE,FOGO DE CHAO BRAZILIAN STEAKHOUSE
JOHNNY'S HALF SHELL RESTAURANT,JOHNNY'S HALF SHELL RESTAURANT
CENTRAL MICHEL RICHARD RESTUARANT,CENTRAL MICHEL RICHARD RESTUARANT
MANDARIN ORIENTAL,MANDARIN ORIENTAL
CONGRESSIONAL CLUB,CONGRESSIONAL CLUB
DEMOCRACY IN ACTION,DEMOCRACY IN ACTION
NEW ORGANIZING INSTITUTE,NEW ORGANIZING INSTITUTE
"BOGART ASSOCIATES, INC.","BOGART ASSOCIATES, INC."
PETTY CASH,PETTY CASH
"QUALITY ENGRAVING & DESIGN, IN","QUALITY ENGRAVING & DESIGN, IN"
PIZZA HUT,PIZZA HUT
"MONTGOMERY COUNTY EDUCATION ASSOCIATION, INC.","MONTGOMERY COUNTY EDUCATION ASSOCIATION, INC."
POOLESVILLE DAY,POOLESVILLE DAY
CAPITOL STEPS,CAPITOL STEPS
SAFEWAY STORES,SAFEWAY STORES
NOMAD EVENT SYSTEMS,NOMAD EVENT SYSTEMS
OTELLO OSTERIA,OTELLO OSTERIA
COSI,COSI
BLACK ROCK GOLF COURSE,BLACK ROCK GOLF COURSE
HEMPHILL BBQ,HEMPHILL BBQ
WASHINGTON COUNTY GOLF CORP,WASHINGTON COUNTY GOLF CORP
CHARLIE PALMER STEAKHOUSE,CHARLIE PALMER STEAKHOUSE
B SMITHS RESTAURANT UNION STATION,B SMITHS RESTAURANT UNION STATION
DOMINOS PIZZA CAPITOL HILL,DOMINOS PIZZA CAPITOL HILL
FIREHOOK BAKERY,FIREHOOK BAKERY
SCHNEIDERS OF CAPITOL HILL,SCHNEIDERS OF CAPITOL HILL
TORTILLA COAST,TORTILLA COAST
THE RITZ CARLTON HOTEL CO,THE RITZ CARLTON HOTEL CO
FAT CANARY,FAT CANARY
JOE THEISMANN'S,JOE THEISMANN'S
THE HOMESTEAD,THE HOMESTEAD
"PARSONS TRANSPORTATION GROUP, INC.","PARSONS TRANSPORTATION GROUP, INC."
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE
PARKWAY DELI & RETAURANT,PARKWAY DELI & RETAURANT
REPUBLICAN NATIONAL COMMITTEE,REPUBLICAN NATIONAL COMMITTEE
FEDERAL CITY CATERERS,FEDERAL CITY CATERERS
HEADS ON ENTERTAINMENT,HEADS ON ENTERTAINMENT
SUBWAY,SUBWAY
BWI ETC 0233,BWI ETC 0233
SQ *TAXI TAXI 001,SQ *TAXI TAXI 001
MAYORGA COFFEE S. PI,MAYORGA COFFEE S. PI
QDOBA #83 QDOBA #83,QDOBA #83 QDOBA #83
CHOP'T,CHOP'T
PANDA EXPRESS 1366 5,PANDA EXPRESS 1366 5
BEACON HOTEL & CORP,BEACON HOTEL & CORP
TOPAZ-HOTEL 0072,TOPAZ-HOTEL 0072
RUTH'S WASHINGTON 54,RUTH'S WASHINGTON 54
SWEET GREEN RESTAURA,SWEET GREEN RESTAURA
WASH METRORAIL003335,WASH METRORAIL003335
PANERA BREAD #601420,PANERA BREAD #601420
IHG WASHA401,IHG WASHA401
STARBUCKS CORP077594,STARBUCKS CORP077594
POTBELLY 021 5429298,POTBELLY 021 5429298
OLYMPIC NEWS OLYMPIC,OLYMPIC NEWS OLYMPIC
THE GRILL 0050,THE GRILL 0050
DUNKIN #335717     Q,DUNKIN #335717     Q
BISTROT LEPIC,BISTROT LEPIC
AMERICAN VISIONARY ARTS MUSEUM ATTN: FACILITIES RENTAL,AMERICAN VISIONARY ARTS MUSEUM ATTN: FACILITIES RENTAL
SILVER DINER BWI 001,SILVER DINER BWI 001
"LEAGUE OF CONSERVATION VOTERS, INC.","LEAGUE OF CONSERVATION VOTERS, INC."
2005-10 NEIL FLETCHER WILSON,2005-10 NEIL FLETCHER WILSON
CITY WIDE GOURMET FOODS,CITY WIDE GOURMET FOODS
PAPA JOHNS,PAPA JOHNS
WINDOWS CATERING COMPANY,WINDOWS CATERING COMPANY
BLT STEAKHOUSE,BLT STEAKHOUSE
WASHINGTON NATIONALS BASEBALL CLUB,WASHINGTON NATIONALS BASEBALL CLUB
AVALON CATERING,AVALON CATERING
BB&T,BB&T
HAWK & DOVE,HAWK & DOVE
CUBA LIBRE,CUBA LIBRE
ROBERT TRENT JONES GOLF CLUB,ROBERT TRENT JONES GOLF CLUB
VSAPAC (VAN SCOYOC ASSOCIATES PAC),VSAPAC (VAN SCOYOC ASSOCIATES PAC)
HONEYBAKED HAM,HONEYBAKED HAM
VENDORS UNDER $  200,VENDORS UNDER $  200
WEGMANS,WEGMANS
PAPPA JOHNS,PAPPA JOHNS
SCHNEIDER LIQUOR,SCHNEIDER LIQUOR
M.K. CATERING,M.K. CATERING
WASHINGTON COURT HOTEL,WASHINGTON COURT HOTEL
W HOTEL,W HOTEL
FLEMINGS,FLEMINGS
BRASSERIE BECK,BRASSERIE BECK
BELLWETHER CONSULTING GROUP,BELLWETHER CONSULTING GROUP
BOBBY VANS STEAKHOUSE,BOBBY VANS STEAKHOUSE
CARMINES DC,CARMINES DC
GOOD STUFF EATERY,GOOD STUFF EATERY
MATCHBOX CAPITOL HILL,MATCHBOX CAPITOL HILL
SZECHUAN FUSION GRILL,SZECHUAN FUSION GRILL
JOCELYN AUGUSTINO PHOTOGRAPHER,JOCELYN AUGUSTINO PHOTOGRAPHER
JONES DAY,JONES DAY
HYATT REGENCY CHESAPEAKE BAY,HYATT REGENCY CHESAPEAKE BAY
DEMOCRATIC NATIONAL COMMITTEE,DEMOCRATIC NATIONAL COMMITTEE
LUCKY STRIKE LANES,LUCKY STRIKE LANES
W. MILLAR & CO.,W. MILLAR & CO.
RUTH'S CHRIS STEAKHOUSE,RUTH'S CHRIS STEAKHOUSE
OVAL ROOM,OVAL ROOM
RUTH'S CHRIS STEAK HOUSE,RUTH'S CHRIS STEAK HOUSE
MEI WAH RESTAURANT,MEI WAH RESTAURANT
SCHNEIDER'S OF CAPITOL HILL,SCHNEIDER'S OF CAPITOL HILL
CAVA MEZZE,CAVA MEZZE
"HOOKS SOLUTIONS, LLC","HOOKS SOLUTIONS, LLC"
MORTON'S OF ARLINGTON,MORTON'S OF ARLINGTON
POTENZA TRATTORIA,POTENZA TRATTORIA
GUAPOS,GUAPOS
CAFE MILANO,CAFE MILANO
DOMINO'S PIZZA,DOMINO'S PIZZA
CORNER BAKERY CAFE,CORNER BAKERY CAFE
COSTCO WHOLESALE,COSTCO WHOLESALE
DUNKIN DONUTS,DUNKIN DONUTS
GIANT FOOD #373,GIANT FOOD #373
GOLDIE'S CONVENIENCE,GOLDIE'S CONVENIENCE
KINKEAD'S,KINKEAD'S
NAVAL ADMIN UNIT,NAVAL ADMIN UNIT
ROCKLANDS BARBEQUE&GRILL,ROCKLANDS BARBEQUE&GRILL
SAFEWAY STORE,SAFEWAY STORE
"ST REGIS WASHINGTON, D.C.","ST REGIS WASHINGTON, D.C."
SWEETGREEN,SWEETGREEN
THE BROWN BAG,THE BROWN BAG
THE OVAL ROOM RESTAURANT,THE OVAL ROOM RESTAURANT
"TREASURER OF THE UNITED STATES RESERVATION #1, ATTN: DENNIS FREEMYER","TREASURER OF THE UNITED STATES RESERVATION #1, ATTN: DENNIS FREEMYER"
PARK HYATT WASHINGTON,PARK HYATT WASHINGTON
DULLES MARRIOTT,DULLES MARRIOTT
MARRIOTT WARDMAN PARK HOTEL,MARRIOTT WARDMAN PARK HOTEL
ALDERSON REPORTING CO.,ALDERSON REPORTING CO.
AFL-CIO,AFL-CIO
ARAMARK REFRESHMENT SERVICES,ARAMARK REFRESHMENT SERVICES
JOE RAGAN'S/ALLIANCE PACKAGING,JOE RAGAN'S/ALLIANCE PACKAGING
CAPITOL HILL SUITES,CAPITOL HILL SUITES
COLONIAL WILLIAMSBURG COMPANY,COLONIAL WILLIAMSBURG COMPANY
JEREMY GOLD,JEREMY GOLD
ERNST & YOUNG,ERNST & YOUNG
US SENATE RESTAURANT,US SENATE RESTAURANT
UNION STREET PUBLIC HOUSE,UNION STREET PUBLIC HOUSE
1ST AND FRESH CATERING,1ST AND FRESH CATERING
MANDARIN ORIENTAL HOTELS,MANDARIN ORIENTAL HOTELS
TOSCANA CATERING,TOSCANA CATERING
PIZZA BOLIS,PIZZA BOLIS
MARTIN'S WINE & SPIRITS,MARTIN'S WINE & SPIRITS
WASHINGTON HILTON,WASHINGTON HILTON
HILTON HOTEL,HILTON HOTEL
TOTAL PARTY & TOTAL FRIGHT,TOTAL PARTY & TOTAL FRIGHT
HARD ROCK CAFE WASHINGTON DC,HARD ROCK CAFE WASHINGTON DC
ROLANDS OF CAPITOL HILL,ROLANDS OF CAPITOL HILL
THE WESTIN DC CITY CENTER,THE WESTIN DC CITY CENTER
ACE BEVERAGE,ACE BEVERAGE
BITTERSWEET CATERING,BITTERSWEET CATERING
DESIGN CUISINE,DESIGN CUISINE
ALS PIZZERIA,ALS PIZZERIA
BULLFEATHERS OF CAPITOL HILL,BULLFEATHERS OF CAPITOL HILL
MARRIOTT HOTELS,MARRIOTT HOTELS
SUBWAY RESTAURANTS,SUBWAY RESTAURANTS
SONOMA RESTAURANT AND WINE BAR,SONOMA RESTAURANT AND WINE BAR
TAYLOR GOURMET,TAYLOR GOURMET
THE CAPITOL HILL CLUB,THE CAPITOL HILL CLUB
CAFE RECESS,CAFE RECESS
MOLLY MALONE'S,MOLLY MALONE'S
BISTRO ITALIANO,BISTRO ITALIANO
ZEST BISTRO,ZEST BISTRO
OYAMEL,OYAMEL
SONOMA RESTAURANT & WINE BAR,SONOMA RESTAURANT & WINE BAR
US BOWLING,US BOWLING
CAPITOL LOUNGE,CAPITOL LOUNGE
"THE CATALYST GROUP RW, LLC","THE CATALYST GROUP RW, LLC"
THE TOWNSEND GROUP,THE TOWNSEND GROUP
CORK RESTAURANT,CORK RESTAURANT
NATIONAL ASSOCIATION OF SECRETARIES OF STATE,NATIONAL ASSOCIATION OF SECRETARIES OF STATE
AATISH ON THE HILL,AATISH ON THE HILL
TFS CONSULTING,TFS CONSULTING
"FEDERAL VALET CARPARKING, INC","FEDERAL VALET CARPARKING, INC"
BLACKFINN BETHESDA,BLACKFINN BETHESDA
BLT STEAK RESTAURANT,BLT STEAK RESTAURANT
BUCA DI BEPPO,BUCA DI BEPPO
BUDDHA BAR,BUDDHA BAR
SINGH CAR SERVICE,SINGH CAR SERVICE
SUBWAY SANDWICH AND SALAD,SUBWAY SANDWICH AND SALAD
TEN PENH,TEN PENH
BOATHOUSE AT ROCKETTS LANDING,BOATHOUSE AT ROCKETTS LANDING
FINEMONDO,FINEMONDO
CAVES VALLEY GOLF CLUB,CAVES VALLEY GOLF CLUB
"TASTE GOURMET, LLC","TASTE GOURMET, LLC"
DIRKSEN SOUTH,DIRKSEN SOUTH
U.S. SENATE RESTAURANT,U.S. SENATE RESTAURANT
ACQUA AL,ACQUA AL
US CAPITOL HISTORICAL SOC,US CAPITOL HISTORICAL SOC
THE PROMOTOUCH INC.,THE PROMOTOUCH INC.
"LOUNGE 201, LLC","LOUNGE 201, LLC"
WHOLEFOODS,WHOLEFOODS
THE PALM RESTAURANT-DC,THE PALM RESTAURANT-DC
MARCPARC VALET,MARCPARC VALET
SINFULLY WRIGHT,SINFULLY WRIGHT
MARTIN'S CROSSWINDS,MARTIN'S CROSSWINDS
CHARLIE PALMER STEAK,CHARLIE PALMER STEAK
SUGAR CATERING,SUGAR CATERING
ERICKSON & CO.,ERICKSON & CO.
THE CRAB CLAW,THE CRAB CLAW
CLYDES,CLYDES
THE GULA GRAHAM GROUP,THE GULA GRAHAM GROUP
MCI CENTER,MCI CENTER
STAR CATERING,STAR CATERING
SUN TRUST BANK,SUN TRUST BANK
TOSCA RESTAURANT,TOSCA RESTAURANT
ART & SOUL RESTAURANT,ART & SOUL RESTAURANT
FIOLA RESTAURANT,FIOLA RESTAURANT
LIZA BANCE BAND,LIZA BANCE BAND
BISTRO CACAO,BISTRO CACAO
RT'S RESTUARANT,RT'S RESTUARANT
AL TIRAMISU,AL TIRAMISU
KINKEADS RESTAURANT,KINKEADS RESTAURANT
BIBIANA,BIBIANA
OCEANAIRE SEAFOOD RESTAURANT,OCEANAIRE SEAFOOD RESTAURANT
DC TASTE,DC TASTE
THE UNIVERSITY CLUB,THE UNIVERSITY CLUB
VOLTA LIVE,VOLTA LIVE
SOFITEL WASHINGTON DC,SOFITEL WASHINGTON DC
MONOCLE,MONOCLE
MORTON'S,MORTON'S
AMERICA'S NATURAL GAS ALLIANCE,AMERICA'S NATURAL GAS ALLIANCE
BOBBY VAN'S RESTAURANT,BOBBY VAN'S RESTAURANT
THE OLDE FARM,THE OLDE FARM
CREIGHTON FARMS,CREIGHTON FARMS
TOSCA,TOSCA
MARRIOTT GREENBELT,MARRIOTT GREENBELT
MASALA WOK,MASALA WOK
"BENEDETI & FARRIS, LLC","BENEDETI & FARRIS, LLC"
SMALL MIRACLES,SMALL MIRACLES
HUNAN DYNASTY,HUNAN DYNASTY
TEATRO GOLDONI,TEATRO GOLDONI
THE MONOCLE RESTAURANT ON CAPITOL HILL,THE MONOCLE RESTAURANT ON CAPITOL HILL
MARRIOTT BETHESDA NORTH HOTEL & CONFERENCE CTR.,MARRIOTT BETHESDA NORTH HOTEL & CONFERENCE CTR.
TOWN OF KENSINGTON,TOWN OF KENSINGTON
RUTHS CHRIS STEAK HOUSE,RUTHS CHRIS STEAK HOUSE
FUSION GRILL,FUSION GRILL
ETA,ETA
MK CATERING,MK CATERING
W MILLARD & CO.,W MILLARD & CO.
"ROGUE 24, LLC","ROGUE 24, LLC"
STEVEN H. GORDON & ASSOCIATES,STEVEN H. GORDON & ASSOCIATES
SUSAN GAGE CATERING,SUSAN GAGE CATERING
SILVER CAB OF PG 167,SILVER CAB OF PG 167
SQ *DK BWI CAB #328,SQ *DK BWI CAB #328
POTBELLY 124 5429298,POTBELLY 124 5429298
SUNOCO 0436645602,SUNOCO 0436645602
MCDONALD'S M2308 OF,MCDONALD'S M2308 OF
FOUR POINTS BY SHERA,FOUR POINTS BY SHERA
BUDGET RENT A CAR,BUDGET RENT A CAR
DOGGETTS PARKING 490,DOGGETTS PARKING 490
KELLARI,KELLARI
